2025-08-02 15:14:20,779 | INFO | Security photo saved: nick_20250802_151420.jpg | Person: Nick | Confidence: 0.66
2025-08-02 15:37:41,983 | INFO | Security photo saved: nick_20250802_153741.jpg | Person: Nick | Confidence: 0.62
2025-08-02 16:07:12,352 | INFO | Security photo saved: nick_20250802_160712.jpg | Person: Nick | Confidence: 0.61
2025-08-02 17:22:44,491 | INFO | Security photo saved: nick_20250802_172244.jpg | Person: Nick | Confidence: 0.56
2025-08-02 17:43:49,177 | INFO | Security photo saved: nick_20250802_174349.jpg | Person: Nick | Confidence: 0.65
2025-08-02 17:47:44,329 | INFO | Security photo saved: nick_20250802_174744.jpg | Person: Nick | Confidence: 0.64
2025-08-02 20:08:13,865 | INFO | Security photo saved: nick_20250802_200813.jpg | Person: Nick | Confidence: 0.57
2025-08-02 20:42:43,711 | INFO | Security photo saved: nick_20250802_204243.jpg | Person: Nick | Confidence: 0.69
2025-08-03 17:23:43,259 | INFO | Security photo saved: nick_20250803_172343.jpg | Person: Nick | Confidence: 0.61
2025-08-03 19:54:57,664 | INFO | Security photo saved: nick_20250803_195457.jpg | Person: Nick | Confidence: 0.54
2025-08-03 20:32:58,698 | INFO | Security photo saved: nick_20250803_203258.jpg | Person: Nick | Confidence: 0.60
2025-08-04 14:13:44,019 | INFO | Security photo saved: nick_20250804_141344.jpg | Person: Nick | Confidence: 0.66
2025-08-04 15:43:55,592 | INFO | Security photo saved: nick_20250804_154355.jpg | Person: Nick | Confidence: 0.61
2025-08-04 16:11:00,920 | INFO | Security photo saved: nick_20250804_161100.jpg | Person: Nick | Confidence: 0.60
2025-08-04 17:43:48,092 | INFO | Security photo saved: nick_20250804_174348.jpg | Person: Nick | Confidence: 0.68
2025-08-04 17:57:14,799 | INFO | Security photo saved: nick_20250804_175714.jpg | Person: Nick | Confidence: 0.65
2025-08-09 16:57:41,646 | INFO | Security photo saved: nick_20250809_165741.jpg | Person: Nick | Confidence: 0.70
